,Line,English name,Russian name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
105,6,Oktyabrskaya,Октябрьская,"55.7306,37.6112",37,43,0,93,28,66,138,29,84,50
106,6,Shabolovskaya,Шаболовская,"55.7198,37.6083",28,68,0,71,25,52,147,40,90,24
107,6,Leninsky Prospekt,Ленинский проспект,"55.7077,37.5861",13,17,1,52,8,30,94,21,126,19
108,6,Akademicheskaya,Академическая,"55.6877,37.5733",7,20,0,47,9,34,104,38,99,16
109,6,Profsoyuznaya,Профсоюзная,"55.6780,37.5627",15,33,0,45,7,28,106,35,74,15
110,6,Novye Cheryomushki,Новые Черёмушки,"55.6702,37.5544",10,38,0,49,5,34,97,42,70,13
111,6,Kaluzhskaya,Калужская,"55.6571,37.5405",4,15,0,46,5,19,112,4,64,15
112,6,Belyayevo,Беляево,"55.6428,37.5257",8,24,0,30,12,37,72,27,80,12
113,6,Konkovo,Коньково,"55.6333,37.5188",3,10,0,30,7,36,63,31,82,10
114,6,Tyoply Stan,Тёплый Стан,"55.6191,37.5082",12,2,0,21,10,12,37,10,77,11
115,6,Yasenevo,Ясенево,"55.6063,37.5333",3,12,0,17,6,26,69,29,77,10
116,6,Novoyasenevskaya,Новоясеневская,"55.6010,37.5541",5,7,0,4,5,10,23,13,30,5
117,7,Planernaya,Планерная,"55.8607,37.4364",3,19,0,26,4,22,54,26,57,13
118,7,Skhodnenskaya,Сходненская,"55.8505,37.4396",4,14,0,38,6,29,70,31,102,16
119,7,Tushinskaya,Тушинская,"55.8267,37.4368",4,7,0,27,6,12,50,9,56,10
120,7,Spartak,Спартак,"55.8182,37.4352",2,3,0,11,4,4,32,4,19,6
121,7,Shchukinskaya,Щукинская,"55.8086,37.4641",4,15,0,28,5,31,63,31,95,24
122,7,Oktyabrskoye Polye,Октябрьское поле,"55.7935,37.4935",15,14,0,33,9,26,87,33,83,19
123,7,Polezhayevskaya,Полежаевская,"55.7775,37.5192",5,13,0,39,6,16,76,28,81,19
124,7,Begovaya,Беговая,"55.7738,37.5468",4,17,0,37,8,16,96,21,53,11
125,7,Ulitsa 1905 Goda,Улица 1905 года,"55.7650,37.5613",40,30,0,66,25,38,132,46,122,19
